query_id,num_qrel_coctr,num_gold_rele0,num_gold_rele1,num_gold_rele2,num_inter_0,num_inter_1,num_inter_2
0,907,97,60,50,37,32,29
1,907,73,107,19,28,54,16
2,907,95,78,45,45,43,27
3,906,189,46,1,99,21,1
4,907,104,24,96,27,4,65
5,907,86,73,46,24,36,30
6,907,118,118,0,45,61,0
7,911,160,13,14,65,2,9
8,910,175,14,2,68,6,2
9,911,206,25,0,70,17,0
10,911,187,18,5,53,11,4
11,911,201,24,0,67,15,0
12,910,207,25,2,65,15,2
13,911,201,21,9,59,13,5
14,907,299,15,0,103,11,0
15,907,288,0,1,110,0,1
16,907,364,16,10,115,0,5
17,911,368,33,0,135,16,0
18,907,373,5,27,135,2,17
19,911,441,4,0,186,1,0
20,907,285,64,2,134,21,1
21,911,323,27,16,131,6,9
22,907,294,26,0,96,7,0
23,907,385,1,0,127,1,0
24,911,351,2,2,160,2,2
25,1365,183,0,37,80,0,26
26,36,129,13,12,21,0,9
27,152,188,3,6,56,0,3
28,3,252,51,40,0,0,0
29,1458,214,3,19,85,0,5
30,272,358,4,7,65,0,1
31,106,288,7,48,30,0,3
32,582,294,36,38,68,2,23
33,225,281,2,3,59,0,1
34,3128,368,2,2,151,0,1
35,1408,331,10,27,86,0,4
36,1,381,14,51,0,0,0
37,77,162,9,2,28,0,0
38,21,171,11,6,13,0,4
39,3073,173,6,131,82,0,58
40,21,203,12,2,19,0,0
41,205,375,1,4,60,0,2
42,71,241,2,8,40,0,4
43,269,224,106,0,50,0,0
44,1,217,11,12,1,0,0
45,1420,311,5,13,101,0,4
46,1904,219,15,32,106,0,16
47,20,208,12,4,18,0,2
48,136,286,0,2,77,0,1
49,167,214,0,20,51,0,7
